"variable","percent","point","mean","sd"
"pelvic_tilt",0,1,12.1464,3
"pelvic_tilt",2,2,12.0222,3
"pelvic_tilt",4,3,11.83376,3
"pelvic_tilt",6,4,11.59294,3
"pelvic_tilt",8,5,11.31485,3
"pelvic_tilt",10,6,11.01699,3
"pelvic_tilt",12,7,10.71806,3
"pelvic_tilt",14,8,10.43684,3
"pelvic_tilt",16,9,10.19101,3
"pelvic_tilt",18,10,9.99601,3
"pelvic_tilt",20,11,9.8641,3
"pelvic_tilt",22,12,9.80355,3
"pelvic_tilt",24,13,9.81819,3
"pelvic_tilt",26,14,9.90708,3
"pelvic_tilt",28,15,10.06465,3
"pelvic_tilt",30,16,10.28098,3
"pelvic_tilt",32,17,10.5425,3
"pelvic_tilt",34,18,10.83276,3
"pelvic_tilt",36,19,11.13353,3
"pelvic_tilt",38,20,11.42591,3
"pelvic_tilt",40,21,11.69153,3
"pelvic_tilt",42,22,11.91369,3
"pelvic_tilt",44,23,12.07845,3
"pelvic_tilt",46,24,12.17544,3
"pelvic_tilt",48,25,12.19858,3
"pelvic_tilt",50,26,12.1464,3
"pelvic_tilt",52,27,12.0222,3
"pelvic_tilt",54,28,11.83376,3
"pelvic_tilt",56,29,11.59294,3
"pelvic_tilt",58,30,11.31485,3
"pelvic_tilt",60,31,11.01699,3
"pelvic_tilt",62,32,10.71806,3
"pelvic_tilt",64,33,10.43684,3
"pelvic_tilt",66,34,10.19101,3
"pelvic_tilt",68,35,9.99601,3
"pelvic_tilt",70,36,9.8641,3
"pelvic_tilt",72,37,9.80355,3
"pelvic_tilt",74,38,9.81819,3
"pelvic_tilt",76,39,9.90708,3
"pelvic_tilt",78,40,10.06465,3
"pelvic_tilt",80,41,10.28098,3
"pelvic_tilt",82,42,10.5425,3
"pelvic_tilt",84,43,10.83276,3
"pelvic_tilt",86,44,11.13353,3
"pelvic_tilt",88,45,11.42591,3
"pelvic_tilt",90,46,11.69153,3
"pelvic_tilt",92,47,11.91369,3
"pelvic_tilt",94,48,12.07845,3
"pelvic_tilt",96,49,12.17544,3
"pelvic_tilt",98,50,12.19858,3
"pelvic_tilt",100,51,12.1464,3
"pelvic_obliquity",0,1,0,1.2
"pelvic_obliquity",2,2,0.50133,1.2
"pelvic_obliquity",4,3,0.99476,1.2
"pelvic_obliquity",6,4,1.4725,1.2
"pelvic_obliquity",8,5,1.92701,1.2
"pelvic_obliquity",10,6,2.35114,1.2
"pelvic_obliquity",12,7,2.73819,1.2
"pelvic_obliquity",14,8,3.08205,1.2
"pelvic_obliquity",16,9,3.37731,1.2
"pelvic_obliquity",18,10,3.61931,1.2
"pelvic_obliquity",20,11,3.80423,1.2
"pelvic_obliquity",22,12,3.92915,1.2
"pelvic_obliquity",24,13,3.99211,1.2
"pelvic_obliquity",26,14,3.99211,1.2
"pelvic_obliquity",28,15,3.92915,1.2
"pelvic_obliquity",30,16,3.80423,1.2
"pelvic_obliquity",32,17,3.61931,1.2
"pelvic_obliquity",34,18,3.37731,1.2
"pelvic_obliquity",36,19,3.08205,1.2
"pelvic_obliquity",38,20,2.73819,1.2
"pelvic_obliquity",40,21,2.35114,1.2
"pelvic_obliquity",42,22,1.92701,1.2
"pelvic_obliquity",44,23,1.4725,1.2
"pelvic_obliquity",46,24,0.99476,1.2
"pelvic_obliquity",48,25,0.50133,1.2
"pelvic_obliquity",50,26,0,1.2
"pelvic_obliquity",52,27,-0.50133,1.2
"pelvic_obliquity",54,28,-0.99476,1.2
"pelvic_obliquity",56,29,-1.4725,1.2
"pelvic_obliquity",58,30,-1.92701,1.2
"pelvic_obliquity",60,31,-2.35114,1.2
"pelvic_obliquity",62,32,-2.73819,1.2
"pelvic_obliquity",64,33,-3.08205,1.2
"pelvic_obliquity",66,34,-3.37731,1.2
"pelvic_obliquity",68,35,-3.61931,1.2
"pelvic_obliquity",70,36,-3.80423,1.2
"pelvic_obliquity",72,37,-3.92915,1.2
"pelvic_obliquity",74,38,-3.99211,1.2
"pelvic_obliquity",76,39,-3.99211,1.2
"pelvic_obliquity",78,40,-3.92915,1.2
"pelvic_obliquity",80,41,-3.80423,1.2
"pelvic_obliquity",82,42,-3.61931,1.2
"pelvic_obliquity",84,43,-3.37731,1.2
"pelvic_obliquity",86,44,-3.08205,1.2
"pelvic_obliquity",88,45,-2.73819,1.2
"pelvic_obliquity",90,46,-2.35114,1.2
"pelvic_obliquity",92,47,-1.92701,1.2
"pelvic_obliquity",94,48,-1.4725,1.2
"pelvic_obliquity",96,49,-0.99476,1.2
"pelvic_obliquity",98,50,-0.50133,1.2
"pelvic_obliquity",100,51,0,1.2
"pelvic_rotation",0,1,-1.94709,4
"pelvic_rotation",2,2,-1.35454,4
"pelvic_rotation",4,3,-0.74063,4
"pelvic_rotation",6,4,-0.11503,4
"pelvic_rotation",8,5,0.51237,4
"pelvic_rotation",10,6,1.1317,4
"pelvic_rotation",12,7,1.73318,4
"pelvic_rotation",14,8,2.30733,4
"pelvic_rotation",16,9,2.84508,4
"pelvic_rotation",18,10,3.33797,4
"pelvic_rotation",20,11,3.77822,4
"pelvic_rotation",22,12,4.15888,4
"pelvic_rotation",24,13,4.47396,4
"pelvic_rotation",26,14,4.71848,4
"pelvic_rotation",28,15,4.88858,4
"pelvic_rotation",30,16,4.98159,4
"pelvic_rotation",32,17,4.99604,4
"pelvic_rotation",34,18,4.93169,4
"pelvic_rotation",36,19,4.78957,4
"pelvic_rotation",38,20,4.57192,4
"pelvic_rotation",40,21,4.28216,4
"pelvic_rotation",42,22,3.92487,4
"pelvic_rotation",44,23,3.50569,4
"pelvic_rotation",46,24,3.03121,4
"pelvic_rotation",48,25,2.50894,4
"pelvic_rotation",50,26,1.94709,4
"pelvic_rotation",52,27,1.35454,4
"pelvic_rotation",54,28,0.74063,4
"pelvic_rotation",56,29,0.11503,4
"pelvic_rotation",58,30,-0.51237,4
"pelvic_rotation",60,31,-1.1317,4
"pelvic_rotation",62,32,-1.73318,4
"pelvic_rotation",64,33,-2.30733,4
"pelvic_rotation",66,34,-2.84508,4
"pelvic_rotation",68,35,-3.33797,4
"pelvic_rotation",70,36,-3.77822,4
"pelvic_rotation",72,37,-4.15888,4
"pelvic_rotation",74,38,-4.47396,4
"pelvic_rotation",76,39,-4.71848,4
"pelvic_rotation",78,40,-4.88858,4
"pelvic_rotation",80,41,-4.98159,4
"pelvic_rotation",82,42,-4.99604,4
"pelvic_rotation",84,43,-4.93169,4
"pelvic_rotation",86,44,-4.78957,4
"pelvic_rotation",88,45,-4.57192,4
"pelvic_rotation",90,46,-4.28216,4
"pelvic_rotation",92,47,-3.92487,4
"pelvic_rotation",94,48,-3.50569,4
"pelvic_rotation",96,49,-3.03121,4
"pelvic_rotation",98,50,-2.50894,4
"pelvic_rotation",100,51,-1.94709,4
"hip_flexion",0,1,30,5
"hip_flexion",2,2,29.84229,5
"hip_flexion",4,3,29.37166,5
"hip_flexion",6,4,28.59553,5
"hip_flexion",8,5,27.52613,5
"hip_flexion",10,6,26.18034,5
"hip_flexion",12,7,24.57937,5
"hip_flexion",14,8,22.74848,5
"hip_flexion",16,9,20.71654,5
"hip_flexion",18,10,18.51559,5
"hip_flexion",20,11,16.18034,5
"hip_flexion",22,12,13.74763,5
"hip_flexion",24,13,11.25581,5
"hip_flexion",26,14,8.74419,5
"hip_flexion",28,15,6.25237,5
"hip_flexion",30,16,3.81966,5
"hip_flexion",32,17,1.48441,5
"hip_flexion",34,18,-0.71654,5
"hip_flexion",36,19,-2.74848,5
"hip_flexion",38,20,-4.57937,5
"hip_flexion",40,21,-6.18034,5
"hip_flexion",42,22,-7.52613,5
"hip_flexion",44,23,-8.59553,5
"hip_flexion",46,24,-9.37166,5
"hip_flexion",48,25,-9.84229,5
"hip_flexion",50,26,-10,5
"hip_flexion",52,27,-9.84229,5
"hip_flexion",54,28,-9.37166,5
"hip_flexion",56,29,-8.59553,5
